city,date_time,temp,humidity,pressure,wind_speed
Karachi,2025-10-17 08:00:00,29.09,17,1012,4.34
Karachi,2025-10-17 11:00:00,28.65,29,1012,3.09
Karachi,2025-10-17 14:00:00,27.42,49,1011,5.07
Karachi,2025-10-17 17:00:00,26.15,67,1011,4.16
Karachi,2025-10-17 20:00:00,27.05,62,1013,3.24
Karachi,2025-10-17 23:00:00,30.4,42,1012,3.06
Karachi,2025-10-18 02:00:00,31.33,38,1009,4.13
Karachi,2025-10-18 05:00:00,30.3,42,1008,5.98
Karachi,2025-10-18 08:00:00,27.92,62,1010,4.58
Karachi,2025-10-18 11:00:00,26.98,71,1010,3.41
Karachi,2025-10-18 14:00:00,26.13,81,1009,5.74
Karachi,2025-10-18 17:00:00,25.91,74,1009,3.21
Karachi,2025-10-18 20:00:00,26.49,73,1011,4.23
Karachi,2025-10-18 23:00:00,30.13,49,1011,4.44
Karachi,2025-10-19 02:00:00,31.0,45,1008,5.22
Karachi,2025-10-19 05:00:00,29.97,51,1008,5.97
Karachi,2025-10-19 08:00:00,27.59,67,1008,5.57
Karachi,2025-10-19 11:00:00,27.1,69,1009,4.42
Karachi,2025-10-19 14:00:00,26.16,75,1008,4.99
Karachi,2025-10-19 17:00:00,25.85,76,1008,4.41
Karachi,2025-10-19 20:00:00,26.75,66,1010,3.49
Karachi,2025-10-19 23:00:00,30.51,43,1010,2.16
Karachi,2025-10-20 02:00:00,31.43,41,1008,3.09
Karachi,2025-10-20 05:00:00,31.57,39,1007,3.0
Karachi,2025-10-20 08:00:00,29.15,48,1009,3.79
Karachi,2025-10-20 11:00:00,27.69,60,1010,3.51
Karachi,2025-10-20 14:00:00,27.31,59,1009,2.49
Karachi,2025-10-20 17:00:00,26.67,62,1010,3.24
Karachi,2025-10-20 20:00:00,28.01,51,1012,3.05
Karachi,2025-10-20 23:00:00,32.25,36,1011,1.72
Karachi,2025-10-21 02:00:00,31.7,39,1009,1.95
Karachi,2025-10-21 05:00:00,31.13,42,1009,1.99
Karachi,2025-10-21 08:00:00,29.19,49,1010,3.25
Karachi,2025-10-21 11:00:00,28.23,54,1011,3.33
Karachi,2025-10-21 14:00:00,27.62,55,1011,4.28
Karachi,2025-10-21 17:00:00,27.21,54,1011,3.25
Karachi,2025-10-21 20:00:00,28.65,38,1013,3.39
Karachi,2025-10-21 23:00:00,32.52,30,1013,2.16
Karachi,2025-10-22 02:00:00,32.86,32,1010,2.34
Karachi,2025-10-22 05:00:00,32.33,34,1009,3.16
